VC,Tier,Proximity,Fit,Location,Contact,Thesis Fit,Network,Lead Capability,Location Score,Gravitas Score,Status,Intro Path,Evidence,Score Confidence
Uncommon Denominator,Gate,Cold (discovered),43,,,5,10,5,15,8,DISCOVERED (AI-scored): Consumer/generalist early-stage fund without clear AI/fintech focus or disclosed check sizes - poor fit for Innovera's Series A.,discovered via Exa find-similar; seed Unusual Ventures,"thesis (5): Focus areas are consumer brands, SaaS that helps businesses make/save money, and frontier tech - no specific AI/fintech/data infrastructure focus mentioned. https://uncommonvc.com
network (10): Portfolio includes enterprise SaaS companies like Order that help businesses save money, suggesting some B2B network. https://uncommonvc.com
lead (5): No check sizes or stage focus details provided beyond 'early stage venture capital firm'. https://uncommonvc.com
location (15): Based in New York at 3 Columbus Circle Floor 15. https://uncommonvc.com
gravitas (8): Partners include experienced investors like Skiddy von Stade who interviews major business leaders, David Honig, Doug Perlson, and Matt Evans. https://uncommonvc.com
source: https://uncommonvc.com",low
Remarkable Ventures,Referral / deprioritize,Cold (discovered),33,,,5,10,8,5,5,DISCOVERED (AI-scored): Generalist early-stage fund with Series A capability but lacks AI/fintech specialization and VC customer network needed for Innovera,discovered via Exa find-similar; seed Unusual Ventures,"thesis (5): Generalist fund with no specific AI/fintech/data-infra focus mentioned, though portfolio includes ModernFi (fintech) - https://remarkable.vc
network (10): Portfolio of 600+ founders with 1000+ mentors suggests broad network but no specific VC/corporate innovation connections shown - https://remarkable.vc
lead (8): Portfolio shows progression through Series A/B for multiple companies but no specific check sizes or valuation ranges provided - https://remarkable.vc
location (5): No location information provided on website - https://remarkable.vc
gravitas (5): $10B+ portfolio market cap and $2B+ capital raised by portfolio companies suggests established presence - https://remarkable.vc
source: https://remarkable.vc",low
Strange Ventures,Gate,Cold (discovered),37,,,8,10,5,8,6,DISCOVERED (AI-scored): Early-stage computing infrastructure fund that likely invests too early and with checks too small for this Series A opportunity.,discovered via Exa find-similar; seed Unusual Ventures,"thesis (8): Strange Ventures is a 'first-check fund' focused on computing infrastructure and interfaces, which only partially aligns with Innovera's AI tooling for VCs/innovation teams. https://strangevc.com
network (10): Portfolio includes companies like Archetype AI with enterprise/industrial focus, suggesting some relevant connections but no clear VC/innovation team customer base shown. https://strangevc.com
lead (5): Described as a 'first-check fund' which typically indicates pre-seed/seed stage investing, not Series A capability at $100M valuations. https://strangevc.com
location (8): No location information provided on website. https://strangevc.com
gravitas (6): Press coverage in NYT, Wired, Axios shows media recognition; research fellows program indicates ecosystem involvement. https://strangevc.com
source: https://strangevc.com",low
Unpopular Ventures,Gate,Cold (discovered),25,,,5,5,5,5,5,DISCOVERED (AI-scored): Website provides insufficient information to assess fit; appears to be early-stage fund with contrarian approach but no clear AI/fintech focus or Series A capability evidence,discovered via Exa find-similar; seed Unusual Ventures,"thesis (5): No specific focus on AI/fintech/data infrastructure mentioned, only general 'unpopular' investment thesis - https://unpopular.vc
network (5): No evidence of portfolio companies or industry connections relevant to VCs or corporate innovation teams - https://unpopular.vc
lead (5): No information about check sizes, fund size, or Series A investment capability - https://unpopular.vc
location (5): No location information provided on website - https://unpopular.vc
gravitas (5): Minimal public presence, no team or track record information visible - https://unpopular.vc
source: https://unpopular.vc",low
Wings Capital Ventures,Gate,Cold (discovered),45,,,20,5,5,10,5,DISCOVERED (AI-scored): Limited website information makes it difficult to assess lead capability and network strength for a $5-7M Series A check,discovered via Exa find-similar; seed Wing VC,"thesis (20): Wings Capital Ventures explicitly focuses on FinTech and AI innovations, directly aligning with Innovera's AI tooling space - https://wingscv.com
network (5): No evidence of specific portfolio companies or VC/corporate innovation team connections found on website - https://wingscv.com
lead (5): No information about check sizes, fund size, or Series A investment history available on website - https://wingscv.com
location (10): Based in Hong Kong's startup landscape, which may limit direct access to US VC/corporate innovation customers - https://wingscv.com
gravitas (5): No information about team, track record, or notable exits found on website - https://wingscv.com
source: https://wingscv.com",low
Valley Capital Partners,Gate,Cold (discovered),0,,,0,0,0,0,0,"DISCOVERED (AI-scored): Website provides minimal information - only states 'early stage capital' without specifics on focus, check size, or track record",discovered via Exa find-similar; seed Wing VC,"thesis (0): No evidence of AI/fintech/data-infra focus found on website - https://valleycapital.vc
network (0): No portfolio companies or partner backgrounds visible on website - https://valleycapital.vc
lead (0): No information on check sizes or lead capability found - https://valleycapital.vc
location (0): No location information provided on website - https://valleycapital.vc
gravitas (0): No partners, track record, or portfolio information available - https://valleycapital.vc
source: https://valleycapital.vc",low
Bv Capital,Gate,Cold (discovered),0,,,0,0,0,0,0,DISCOVERED (AI-scored): Cannot evaluate BV Capital as no evidence was provided from their website,discovered via Exa find-similar; seed Wing VC,"thesis (0): No evidence available from the provided website content
network (0): No evidence available from the provided website content
lead (0): No evidence available from the provided website content
location (0): No evidence available from the provided website content
gravitas (0): No evidence available from the provided website content
source: https://bvcapital.com",low
Pacific Venture Investments,Gate,Cold (discovered),40,,,10,5,5,15,5,DISCOVERED (AI-scored): Minimal public information available; appears to be a small private investment firm without clear evidence of leading $5-7M Series A rounds.,discovered via Exa find-similar; seed Wing VC,"thesis (10): Firm focuses on information technology and services sectors which could include AI tooling - https://pacificvc.com
network (5): Claims to leverage partners' experience to accelerate portfolio companies' path to customers - https://pacificvc.com
lead (5): No evidence of check sizes or Series A investments found - https://pacificvc.com
location (15): Located in Palo Alto, CA which is in Silicon Valley ecosystem - https://pacificvc.com
gravitas (5): Described as private investment firm with no specific track record mentioned - https://pacificvc.com
source: https://pacificvc.com",low
West Quad Ventures,Referral / deprioritize,Cold (discovered),46,,,8,10,8,15,5,DISCOVERED (AI-scored): Limited public information available; appears to be a small early-stage fund but no specific AI/fintech focus or check size data provided,discovered via Exa find-similar; seed Wing VC,"thesis (8): Invests in early stage startups aspiring to be category leaders with emphasis on what's good for the world - https://westquad.vc
network (10): Andreas Penna has mobile/tech executive experience with business development and strategic partnerships background - https://westquad.vc
lead (8): Describes itself as 'Early and growth stage Venture Capital' suggesting Series A capability - https://westquad.vc
location (15): Based in New York at 444 Madison Ave, 32nd Floor - https://westquad.vc
gravitas (5): One GP listed (Andreas Penna) with BBA from University of Michigan and executive education from Duke/Kellogg - https://westquad.vc
source: https://westquad.vc",low
Wing Invest Ua,Gate,Cold (discovered),0,,,0,0,0,0,0,DISCOVERED (AI-scored): Cannot evaluate Wing Invest Ua as the provided evidence only contains privacy policy text with no actual firm information,discovered via Exa find-similar; seed Wing VC,"thesis (0): No investment thesis information available - only privacy policy text visible + https://winginvest.nl
network (0): No portfolio or network information available - only privacy policy text visible + https://winginvest.nl
lead (0): No information about check sizes or lead capability - only privacy policy text visible + https://winginvest.nl
location (0): Domain suggests Netherlands (.nl) but no location information in provided content + https://winginvest.nl
gravitas (0): No information about team or track record - only privacy policy text visible + https://winginvest.nl
source: https://winginvest.nl",low
Rebellion Ventures,Gate,Cold (discovered),45,,,5,15,5,10,10,"DISCOVERED (AI-scored): Strong operator network but wrong stage (seed/pre-seed) and thesis (autonomous operations, not AI tooling for VCs)",discovered via Exa find-similar; seed Radical Ventures,"thesis (5): Focuses on autonomous operations/systems for essential industries, not AI tooling for VCs/innovation teams - https://rebellionvc.com
network (15): LP community includes 70+ unicorn founders, CEOs, and operating executives who could be potential customers - https://rebellionvc.com
lead (5): Invests at seed and pre-seed stage only, no evidence of Series A or $5-7M checks - https://rebellionvc.com
location (10): Based in Silicon Valley - https://rebellionvc.com
gravitas (10): Team has built multi-billion-dollar companies with track record of multi-billion-dollar exits - https://rebellionvc.com
source: https://rebellionvc.com",low
Raw Ventures,Gate,Cold (discovered),35,,,5,10,5,10,5,DISCOVERED (AI-scored): MediaTech-focused evergreen fund with unclear Series A capabilities and poor thesis fit for AI tooling for VCs,discovered via Exa find-similar; seed Radical Ventures,"thesis (5): Raw Ventures focuses on MediaTech, HealthTech, and Sustainability - no mention of AI tooling, fintech, or data infrastructure. Source: https://rawventures.com
network (10): They claim to back 'disruptive companies' and have an ecosystem approach, but no specific enterprise/VC/innovation team connections shown. Source: https://rawventures.com
lead (5): Portfolio company Comfi raised $64.5M Pre-Series A, suggesting capability for larger rounds, but no evidence of Series A leadership or typical check sizes. Source: https://rawventures.com
location (10): No location information provided on website. Source: https://rawventures.com
gravitas (5): Founded in 2021 with evergreen capital structure, but limited track record and no notable exits mentioned. Source: https://rawventures.com
source: https://rawventures.com",low
Real Ventures,3 - Follow / participant,Cold (discovered),70,,,15,20,15,10,10,DISCOVERED (AI-scored): Canadian early-stage generalist fund with some AI exposure but unclear if they lead $5-7M checks at $100M valuations,discovered via Exa find-similar; seed Radical Ventures,"thesis (15): Portfolio includes data/AI companies like BenchSci (drug discovery AI) and Xanadu (quantum computing), showing some AI investment activity - https://realventures.com
network (20): Portfolio includes enterprise software companies like Zeffy (fundraising platform) and Transit (125+ cities), suggesting potential connections to innovation teams - https://realventures.com
lead (15): Describes itself as 'Canada's leading early-stage VC firm' but no specific check sizes or fund size mentioned - https://realventures.com
location (10): Canadian-focused fund which may limit US market access for Innovera - https://realventures.com
gravitas (10): Claims to be 'Canada's leading early-stage VC firm' with notable portfolio companies across multiple sectors - https://realventures.com
source: https://realventures.com",low
Radix Ventures,Gate,Cold (discovered),41,,,5,8,12,10,6,DISCOVERED (AI-scored): Deep tech CEE fund with €0.5-2.5M tickets - poor thesis fit for AI/VC tools and below target check size,discovered via Exa find-similar; seed Radical Ventures,"thesis (5): Radix focuses on deep tech in CEE with emphasis on energy, manufacturing, transport, space tech, dual use, and next generation computing - no mention of AI/fintech/data-infra focus for VCs/corporates https://radix-vc.com
network (8): Has connections to investors through extensive network and mentions supporting startups with funding connections https://radix-vc.com
lead (12): Investment tickets range €0.5-2.5M targeting 10% ownership, which suggests Series A capability but no explicit confirmation of leading $10M rounds https://radix-vc.com
location (10): Geographic focus on Central and Eastern Europe (CEE) and selectively in other EU countries https://radix-vc.com
gravitas (6): Partners include serial entrepreneur and former deep tech accelerator managing partner with 20+ years corporate finance experience https://radix-vc.com
source: https://radix-vc.com",low
Equal Ventures,Referral / deprioritize,Cold (discovered),45,,,8,15,10,7,5,DISCOVERED (AI-scored): Legacy industry focus doesn't align with AI/fintech thesis; check size and fund capabilities unclear from available evidence.,discovered via Exa find-similar; seed Radical Ventures,"thesis (8): Equal invests in 'technology within legacy industries' including insurance, retail, supply chain - no mention of AI tooling, fintech or data infrastructure focus. https://equal.vc
network (15): Portfolio spans insurance, retail, supply chain sectors which could provide customer connections for corporate innovation teams. https://equal.vc
lead (10): Claims to be 'all-in partners to exceptional founders at the earliest stages' but no specific check sizes or fund size mentioned. https://equal.vc
location (7): No location information provided on the website. https://equal.vc
gravitas (5): Appears to be an established fund with market insights but limited evidence of tier-1 status or major exits. https://equal.vc
source: https://equal.vc",low
Root Ventures,Gate,Cold (discovered),52,,,15,10,5,15,7,"DISCOVERED (AI-scored): Root is a seed-stage deep tech fund, likely too early-stage to lead Innovera's $10M Series A at $100M valuation",discovered via Exa find-similar; seed Radical Ventures,"thesis (15): Root Ventures is a seed stage firm focused on deep tech and bold engineers, which partially aligns with AI tooling but not specifically fintech/data-infra focus - https://root.vc
network (10): As a seed stage deep tech investor they likely have connections to technical founders and companies but no specific evidence of VC/corporate innovation customer networks - https://root.vc
lead (5): Root Ventures explicitly states they are a seed stage firm, not Series A, and no evidence of $5-7M check sizes or ability to price $100M rounds - https://root.vc
location (15): Based in San Francisco, CA which is a major tech hub ideal for AI/fintech companies - https://root.vc
gravitas (7): Established seed stage venture capital firm in San Francisco focused on deep tech - https://root.vc
source: https://root.vc",low
Radar Ventures,Gate,Cold (discovered),45,,,20,5,5,10,5,DISCOVERED (AI-scored): Thesis-aligned AI fund but website too sparse to confirm Series A capability or $5-7M checks,discovered via Exa find-similar; seed Radical Ventures,"thesis (20): States focus on Cognitive Sciences, Artificial Intelligence and Quantum related solutions - https://radarventures.ca/
network (5): No portfolio companies or partner bios visible on website - https://radarventures.ca/
lead (5): No evidence of check sizes, fund size, or prior Series A investments - https://radarventures.ca/
location (10): Based in Canada (.ca domain) - https://radarventures.ca/
gravitas (5): Minimal website with only basic contact info suggests early-stage or small fund - https://radarventures.ca/
source: https://radarventures.ca",low
Elemental Ventures,Gate,Cold (discovered),0,,,0,0,0,0,0,"DISCOVERED (AI-scored): ElementalVC.com is a domain for sale, not an active venture capital firm",discovered via Exa find-similar; seed Radical Ventures,"thesis (0): No investment thesis information available - site is a domain sale page https://elementalvc.com
network (0): No portfolio or network information available - site is a domain sale page https://elementalvc.com
lead (0): No investment capability information available - site is a domain sale page https://elementalvc.com
location (0): No location information available - site is a domain sale page https://elementalvc.com
gravitas (0): No team or track record information available - site is a domain sale page https://elementalvc.com
source: https://elementalvc.com",low
Red Glass Ventures,Gate,Cold (discovered),30,,,15,0,0,15,0,DISCOVERED (AI-scored): Minimal public information makes this firm impossible to properly evaluate for a $10m Series A lead.,discovered via Exa find-similar; seed Glasswing Ventures,"thesis (15): Firm invests at intersection of AI and physical world, which partially aligns with Innovera's AI tooling focus. https://redglass.vc
network (0): No portfolio companies or partner backgrounds visible to assess network quality. https://redglass.vc
lead (0): No information available about check sizes, fund size, or Series A experience. https://redglass.vc
location (15): Based in Menlo Park, CA - prime Silicon Valley location for accessing VC/corporate customers. https://redglass.vc
gravitas (0): No information about team, track record, or fund size available. https://redglass.vc
source: https://redglass.vc",low
Looking Glass Capital,Gate,Cold (discovered),30,,,5,10,5,5,5,DISCOVERED (AI-scored): Early-stage mission-driven fund with health/climate focus; poor fit for AI tooling Series A lead given stage and thesis mismatch.,discovered via Exa find-similar; seed Glasswing Ventures,"thesis (5): Looking Glass focuses on health, climate, and empowerment themes, not AI/fintech/data infrastructure - https://lookingglass.vc
network (10): No specific portfolio companies or partner connections to VC/corporate innovation customers mentioned - https://lookingglass.vc
lead (5): Described as making 'earliest days' investments, suggesting pre-seed/seed focus rather than Series A capability - https://lookingglass.vc
location (5): No location information provided on website - https://lookingglass.vc
gravitas (5): No team members, portfolio companies, or track record information provided - https://lookingglass.vc
source: https://lookingglass.vc",low
Glass Frog Ventures,Gate,Cold (discovered),35,,,5,10,5,10,5,DISCOVERED (AI-scored): Dutch seed fund with €50k-€500k checks - too small to lead Innovera's $10M Series A,discovered via Exa find-similar; seed Glasswing Ventures,"thesis (5): No mention of AI, fintech, or data infrastructure focus - they seek 'early stage innovative companies' broadly + https://glassfrogventures.com
network (10): Team has 'extensive network' from corporate and entrepreneurial backgrounds but no specific VC/innovation team connections mentioned + https://glassfrogventures.com
lead (5): Maximum ticket size is €500k (~$550k), far below the $5-7M needed to lead a Series A + https://glassfrogventures.com
location (10): Focuses on companies 'headquartered preferably in the Netherlands' which could work for global AI company + https://glassfrogventures.com
gravitas (5): Team of 4 experienced entrepreneurs and former CEOs with corporate backgrounds + https://glassfrogventures.com
source: https://glassfrogventures.com",low
Glass Ventures,Gate,Cold (discovered),23,,,5,5,5,5,3,DISCOVERED (AI-scored): Sparse website with Web3/4 focus misaligned with Innovera's AI tooling for VCs; no evidence of Series A capability or relevant network.,discovered via Exa find-similar; seed Glasswing Ventures,"thesis (5): Focuses on Web 4.0 and Web 3.0, not AI/fintech/data infrastructure for VCs - https://glassventures.vc
network (5): No evidence of VC/corporate innovation network connections - https://glassventures.vc
lead (5): Claims early-stage focus but no evidence of check sizes or Series A capability - https://glassventures.vc
location (5): No location information provided on website - https://glassventures.vc
gravitas (3): Minimal website with no team, portfolio, or track record information - https://glassventures.vc
source: https://glassventures.vc",low
"Glasswing Equity, Llc",Gate,Cold (discovered),0,,,0,0,0,0,0,"DISCOVERED (AI-scored): Insufficient evidence - site appears to be minimal with only cart page visible, cannot verify if this is a venture fund",discovered via Exa find-similar; seed Glasswing Ventures,"thesis (0): No investment thesis or portfolio information available on site https://glasswingequity.com
network (0): No network or partnership information available on site https://glasswingequity.com
lead (0): No investment size or stage information available on site https://glasswingequity.com
location (0): No location information available on site https://glasswingequity.com
gravitas (0): No team or track record information available on site https://glasswingequity.com
source: https://glasswingequity.com",low
Hourglass Ventures,Gate,Cold (discovered),23,,,5,5,5,5,3,DISCOVERED (AI-scored): Insufficient evidence on website to evaluate - appears to be minimal or placeholder site,discovered via Exa find-similar; seed Glasswing Ventures,"thesis (5): No evidence of AI/fintech/data infrastructure focus found on https://hourglass.ventures
network (5): No portfolio companies or partnerships mentioned on https://hourglass.ventures
lead (5): No check size information or Series A experience documented on https://hourglass.ventures
location (5): No location information available on https://hourglass.ventures
gravitas (3): No team members or track record visible on https://hourglass.ventures
source: https://hourglass.ventures",low
Fusionx Ventures,Referral / deprioritize,Cold (discovered),30,,,5,5,5,10,5,DISCOVERED (AI-scored): Limited website information makes it difficult to assess fit for AI tooling investment at $100M valuation,discovered via Exa find-similar; seed Fusion Fund,"thesis (5): FusionX invests in technology sectors but no specific mention of AI, fintech, or data infrastructure focus - https://fusionxventures.com
network (5): No evidence of specific VC or corporate innovation network connections - https://fusionxventures.com
lead (5): Early stage investor but no evidence of check sizes, fund size, or ability to price $100M rounds - https://fusionxventures.com
location (10): Southern California-based firm - https://fusionxventures.com
gravitas (5): Partners are previous entrepreneurs and operators with venture-backed experience - https://fusionxventures.com
source: https://fusionxventures.com",low
Fellows Fund,Gate,Cold (discovered),60,,,20,15,10,5,10,DISCOVERED (AI-scored): AI-focused fund with strong enterprise network but unclear if they can lead $10m Series A rounds at this valuation,discovered via Exa find-similar; seed Fusion Fund,"thesis (20): Fellows Fund explicitly focuses on 'Backing the Builders of Intelligence' with AI-focused portfolio companies like Replit, Abridge, and Hyperbound AI - https://fellowsfundvc.com
network (15): Has AI Fellows network including enterprise executives from Meta, Zoom, ServiceNow, and Atlassian who could be potential Innovera customers - https://fellowsfundvc.com
lead (10): Founded in 2021 as an early-stage fund but no evidence of check sizes or Series A rounds at $100m valuations - https://fellowsfundvc.com
location (5): No location information provided on website - https://fellowsfundvc.com
gravitas (10): Strong AI Fellows network includes VP-level executives from major tech companies and research leaders from Waymo and Amazon - https://fellowsfundvc.com
source: https://fellowsfundvc.com",low
Fusion Funding,Gate,Cold (discovered),0,,,0,0,0,0,0,"DISCOVERED (AI-scored): Fusion Funding is a debt financing company for small businesses, not a venture capital firm",discovered via Exa find-similar; seed Fusion Fund,"thesis (0): No AI/fintech/data infrastructure focus - offers merchant cash advances, invoice factoring, and equipment financing to small businesses https://fusion-funding.com
network (0): No evidence of connections to VCs or corporate innovation teams - serves small businesses needing working capital https://fusion-funding.com
lead (0): No venture capital capabilities - provides debt-based business financing products, not equity investments https://fusion-funding.com
location (0): No location information provided on website https://fusion-funding.com
gravitas (0): Mixed Google reviews with some claiming harassment and scam behavior, no evidence of investment track record https://fusion-funding.com
source: https://fusion-funding.com",low
Filter Fund,Gate,Cold (discovered),60,,,20,15,10,5,10,DISCOVERED (AI-scored): Early-stage AI-focused fund with strong network but unclear Series A lead capability and check sizes,discovered via Exa find-similar; seed Fusion Fund,"thesis (20): Filter Fund focuses on AI investments and is industry agnostic, targeting core technologies across AI, cyber security and privacy - https://filterfund.vc
network (15): Investment Committee includes members from Google, Apple, Stanford, Y Combinator, Sequoia, a16Z, Goldman Sachs and other top institutions - https://filterfund.vc
lead (10): Filter Fund is described as an early-stage venture capital firm but no specific check sizes or Series A experience mentioned - https://filterfund.vc
location (5): No specific location information provided on the website - https://filterfund.vc
gravitas (10): Managing Partner has invested in 205+ startups seeding companies now valued at over $11 billion with two-time top-decile returns - https://filterfund.vc
source: https://filterfund.vc",low
Biztechfund Inc,Gate,Cold (discovered),12,,,5,5,0,0,2,"DISCOVERED (AI-scored): BizTechFund appears to be an analytics/consulting firm serving VCs, not a venture capital fund itself",discovered via Exa find-similar; seed Fusion Fund,"thesis (5): Site mentions 'VC Investment' and analytics for private markets but appears to be a consulting/analytics service provider, not an investor - https://biztechfund.com
network (5): Shows associations with KisaanSay, eMachineLabs, and My Business Care Consultancy but these appear to be clients/partners, not portfolio companies - https://biztechfund.com
lead (0): No evidence of investment activity, check sizes, or fund structure; appears to provide analytics services to investors rather than making investments - https://biztechfund.com
location (0): No location information provided on website - https://biztechfund.com
gravitas (2): Website exists with some analytical frameworks but no team, track record, or investment credentials shown - https://biztechfund.com
source: https://biztechfund.com",low
Nexus Fund,Referral / deprioritize,Cold (discovered),35,,,5,10,5,10,5,"DISCOVERED (AI-scored): Insufficient public information to assess fit - appears to be Asia-focused early-stage fund but lacking details on check sizes, sectors, or Series A capability",discovered via Exa find-similar; seed Fusion Fund,"thesis (5): Nexus Fund focuses on 'Far East innovation' and early-stage capital, but no specific mention of AI/fintech/data-infra focus https://nexusfund.io
network (10): States they are 'Bridging the Pacific' suggesting cross-border network between Asia and likely US markets https://nexusfund.io
lead (5): Describes themselves as providing 'early-stage capital' but no check sizes or valuation ranges specified https://nexusfund.io
location (10): Focus on 'Far East innovation' and 'Bridging the Pacific' suggests Asia-Pacific presence https://nexusfund.io
gravitas (5): Limited information available beyond basic positioning as early-stage investor https://nexusfund.io
source: https://nexusfund.io",low
