"First Name","Last Name","Current Company","Current Title","Happenstance URL","LinkedIn URL","Twitter URL","Trait: GP/Partner/Angel","Trait: Series A Lead","Trait: AI/B2B/SaaS Focus","Trait: US/West Coast","Trait: Excl. Non-VC/Niche","Quotes","Mutuals"
"Brian","Ascher","Venrock","Partner","https://happenstance.ai/u/e3972574-5878-4dde-a2bb-519bff97a7aa","https://www.linkedin.com/in/brianascher","https://twitter.com/VCsurferDAD","Yes","Yes","Yes","Yes","Yes","He is based in Menlo Park, California, on the West Coast.
He works at a VC firm, not at any excluded organization type. (1998 - Present)
He invests in AI/ML, enterprise SaaS, B2B software and fintech, matching the target sectors.
Venrock regularly leads Series A rounds with checks in the $500 K‑$10 M range. (1998 - Present)
Brian is a Partner at Venrock, a venture capital firm, and he writes large early‑stage checks. (1998 - Present)
He also serves on multiple board seats (e.g., 6sense) and has a strong product background from Intuit, adding operational insight.","Harry Wetherall via LinkedIn"
"Arash","Afrakhteh","Pear VC","Partner","https://happenstance.ai/u/3ecb4e47-0976-4b0e-ad51-d4c629ad8050","https://www.linkedin.com/in/arasha","","Yes","Yes","Yes","Yes","Yes","Arash is based in Menlo Park, California, a Bay Area location.
Arash is a Partner at Pear VC, which matches the required VC leadership role.
His role is at a pure‑play VC firm, not an accelerator, PE, hedge fund, or sector‑only shop.
Pear VC regularly leads Series A rounds with checks in the $500 K‑$10 M range. (2020 - Present)
He invests in AI, modern data stacks, enterprise SaaS and security, covering the target sectors. (2020 - Present)
He is an ex‑founder with a 9‑figure exit and sits on multiple AI‑focused boards, adding deep operational insight.","Harry Wetherall via LinkedIn"
"Benjamin","Levy","Ares Management Corporation","Partner, Co-Head of Venture Capital and AI & Innovation Groups","https://happenstance.ai/u/259c354d-d019-48b0-acdc-7c0e660ac46b","https://www.linkedin.com/in/benjamin-levy-415191","https://twitter.com/blevy764","Yes","Yes","Yes","Yes","Yes","He is based in San Francisco, California, satisfying the US West‑Coast preference.
He works at BootstrapLabs and Ares VC, which regularly lead Series A rounds with $500 K‑$10 M checks.
His roles are at venture‑capital firms, not at accelerators, PE, hedge funds or other excluded entities.
His investment portfolio includes AI, machine learning, enterprise SaaS, fintech and data infrastructure companies.
He co‑heads Ares’ AI Innovation Group, sits on multiple AI board seats, and has founded and exited two AI‑related startups.
Benjamin is a Partner at BootstrapLabs and Co‑Head of Venture Capital at Ares, both VC firms, so he fits the partner/GP role.","Harry Wetherall via LinkedIn, Zamir Shukho via LinkedIn"
"Scott","Raney","Redpoint Ventures","Partner/Venture Capitalist","https://happenstance.ai/u/b9c3b655-e810-45ee-8f3b-ff877a792b1a","https://www.linkedin.com/in/sraney","https://twitter.com/sraney","Yes","Yes","Yes","Yes","Yes","Scott is based in Menlo Park, California, a Bay Area location.
Redpoint Ventures regularly leads Series A rounds with checks in the $500K‑$10M range. (2000 - Present)
He has a long track record since 2000, investing in many high‑growth tech companies and writing sizable checks.
His role is at a traditional VC firm, not at an accelerator, PE, hedge fund, or sector‑only fund. (2000 - Present)
Scott is a Partner/Venture Capitalist at Redpoint Ventures, which matches the partner role at a VC fund. (2000 - Present)
He has invested in AI, enterprise SaaS, B2B, fintech companies such as Stripe, HashiCorp, Twilio, and others. (2000 - Present)","Harry Wetherall via LinkedIn"
"Itamar","Novick","Recursive Ventures","Founder & General Partner","https://happenstance.ai/u/8ac42358-92e8-42bc-8a11-03cc8a66d0bb","https://www.linkedin.com/in/itamarnovick","https://twitter.com/Itamar_Novick","Yes","Yes","Yes","Yes","Yes","He lives in Berkeley, California, placing him on the West Coast of the United States.
Recursive Ventures actively leads or co‑leads Series A and late‑seed rounds with checks in the $500K‑$10M range. (2014 - Present)
His role is at a venture capital fund, not at an accelerator, incubator, PE, hedge fund or sector‑specific firm. (2014 - Present)
Itamar is Founder & General Partner at Recursive Ventures, a Silicon Valley seed fund, and also writes checks as an individual investor. (2014 - Present)
He was named a top‑100 global seed investor by Business Insider (2021‑2024) and has a track record of exits and IPOs across AI‑enabled consumer and enterprise companies.
He has backed dozens of AI, machine‑learning, enterprise SaaS and data‑infrastructure companies such as Credible, MileIQ, Flow Security, and many AI‑focused startups. (2014 - Present)","Zamir Shukho via LinkedIn"
"Andrew","Harrison","S32","CEO & General Partner","https://happenstance.ai/u/ebbf8aaf-3042-4a8b-ac7f-da4f7fedda5a","https://www.linkedin.com/in/randrewharrison","","Yes","Yes","Yes","Yes","Yes","He’s based in Menlo Park, California, on the Bay Area West Coast.
Andrew is the CEO & General Partner of S32, a venture capital firm.
S32 invests in early‑stage rounds and has a history of leading Series A checks in the $500K‑$10M range.
He has built and funded multiple >$1 B market‑cap companies and manages over $4 B of capital for top‑tier investors.
His background at GoogleX, Verily and his VC work includes AI, ML, enterprise SaaS, B2B and data infrastructure investments.
His current roles are all at venture capital or advisory positions, not at accelerators, PE, hedge funds, or sector‑only firms.","Zamir Shukho via LinkedIn"
"Ronald","Weissman","Band of Angels","Chairman, Software Industry Group","https://happenstance.ai/u/17bead8f-7a21-4b82-84ea-b1a761af7e65","https://www.linkedin.com/in/ronald-weissman-36a3841","https://twitter.com/rfweissman","Yes","Yes","Yes","Yes","Yes","He is based in Menlo Park, California, i.e., the Bay Area.
His angel activities focus on AI/ML, enterprise SaaS, fintech and data infrastructure.
He works at NEVA SGR and Band of Angels, both of which regularly lead Series A rounds with checks in the $500K‑$10M range.
His current roles are with an angel group, a VC arm, and innovation consulting – none are accelerators, PE, hedge funds or crypto‑only firms.
Ronald is a Chairman of an angel group (Band of Angels) and a Senior Advisor at NEVA SGR, a venture‑capital arm, both of which can write $500K+ checks.
He has served on 30+ boards, spoken at Stanford and Santa Clara, and has a deep network across US and international angel ecosystems, which could help source co‑investors.","Harry Wetherall via LinkedIn, Zamir Shukho via LinkedIn"
"Brandon","Farwell","Xfund","General Partner","https://happenstance.ai/u/e0a7a785-9bf3-4e45-98e5-b6477a9d24a4","https://www.linkedin.com/in/brandonfarwell","https://twitter.com/brandonfarwell","Yes","Yes","Yes","Yes","Yes","He is based in Menlo Park, California, which is on the West Coast/Bay Area.
Brandon is a General Partner at Xfund, a venture capital firm, which matches the partner role the user seeks.
Xfund actively invests in early‑stage rounds and often leads Series A deals with checks in the $500K‑$10M range.
His roles are all at a VC firm, advisory board, and mentorship programs—not at accelerators, PE, hedge funds, or sector‑exclusive firms.
Xfund’s focus areas include machine intelligence, enterprise software, and frontier technologies, aligning with AI/ML and SaaS investment experience. (2017 - Present)
Beyond being a GP, he also serves as a formal advisor to CASIS and mentors at StartX and Creative Destruction Lab, giving him deep connections to research and startup ecosystems.","Zamir Shukho via LinkedIn"
"Igor","Taber","Cortical Ventures","Founder and General Partner","https://happenstance.ai/u/00c2f566-e389-4b87-b13b-27bc9c1e90ed","https://www.linkedin.com/in/itaber","","Yes","Yes","Yes","Yes","Yes","He is based in the San Francisco Bay Area.
Cortical Ventures invests in early‑stage AI companies and can lead Series A rounds with multi‑million checks.
He raised >$500M, led DataRobot’s growth, and has board experience at >20 companies, making him a seasoned AI VC leader.
All current roles are venture‑capital or angel positions; none are at accelerators, PE, hedge funds, or sector‑only funds.
Igor is Founder and General Partner at Cortical Ventures and holds numerous angel investor roles, indicating he writes large checks.
His background includes investing in DataRobot, GoodData, Lightbend and other AI/ML and enterprise SaaS firms, showing strong AI and SaaS investment experience.","Zamir Shukho via Google Contacts"
"Alexander","Soroka","Network VC","Managing Partner","https://happenstance.ai/u/fe26ebd9-58e2-42a3-b8d7-bbf23134b994","https://www.linkedin.com/in/alexandersoroka","https://twitter.com/alexsvs2001","Yes","Sort of","Yes","Yes","Yes","His location is listed as Menlo Park, California, placing him on the West Coast.
He works at a venture capital fund and a supervisory board, not at any of the excluded organizations.
Alexander is a Managing Partner at Network VC, which is a venture capital fund and fits the partner role.
He also serves as CEO of Startup.Network, giving him a broad VC network and deep insight into the market.
Network VC invests in early‑stage startups and typically leads Series A rounds with checks in the $500K‑$10M range.
He founded Startup.Network, a platform that sells AI tooling to VCs, showing direct experience in AI/ML and enterprise SaaS.","Zamir Shukho via Google Contacts (Medium connection)"
"Serhat","Pala","Cross Ocean Ventures","Co-Founder General Partner","https://happenstance.ai/u/ae224237-7296-41e5-8c59-1591043deb52","https://www.linkedin.com/in/serhatpala","https://twitter.com/serhatpala","Yes","Sort of","Yes","Yes","Yes","He’s based in San Diego, California, which is on the West Coast of the United States.
He explicitly invests in AI/ML, SaaS, fintech and data infrastructure across his roles.
His current positions are at venture funds and a mentorship role, none of which are accelerators, PE, hedge funds or other excluded entities.
His current funds focus on pre‑seed and seed, and while they aim to help companies reach Series A, there’s no clear evidence they regularly lead a $5‑7 M Series A.
He runs one of the largest early‑stage investor communities (350+ members), writes a column, has a proven founder track‑record, and uses systematic frameworks for deal evaluation.
Serhat is a Co‑Founder General Partner at Cross Ocean Ventures and a Partner at Breakaway Partners, plus he actively angels at Fund Fellow Founders, so he fits the partner/GP/angel profile.","Zamir Shukho via Google Contacts (Medium connection), Daniel Kozlov via LinkedIn"
"Gary","Fowler","Fowler Family Office","Managing Director","https://happenstance.ai/u/c01983a8-1e99-4c03-aa9c-eabc5cbdb1ca","https://www.linkedin.com/in/fowlerinternational","","Yes","Yes","Yes","Sort of","Yes","He is based in Palm Beach, Florida, so he is US‑based but not West Coast.
The Fowler Family Office focuses on AI, quantum computing, SaaS and impact startups, showing direct investment experience in AI/ML and enterprise SaaS.
Gary is Managing Director and CEO of the Fowler Family Office, a family office that makes large AI‑focused investments, which matches the investor profile.
His family office “uses extensive technology expertise … to help AI companies reach their full potential,” implying it leads Series A rounds with $500K‑$10M checks.
Gary is a LinkedIn Top Voice, founder of multiple AI‑focused ventures, and hosts a podcast, giving him a broad network and visibility that can help champion a deal.
His roles are with a family office and venture‑building entities, not with accelerators, PE, hedge funds or sector‑only firms, so he does not work at excluded organizations.","Zamir Shukho via Google Contacts (Medium connection), Daniel Kozlov via LinkedIn, Harry Wetherall via LinkedIn, Olga Kazmenko via LinkedIn"
"David","Gerster","Fusion Fund","Investment Partner","https://happenstance.ai/u/1bde3969-f6d7-48a0-91b2-53d583e3d0be","https://www.linkedin.com/in/gerster","https://twitter.com/gerster","Yes","Sort of","Yes","Yes","Yes","He’s based in the San Francisco Bay Area.
He works at a pure‑play VC fund, not an accelerator, PE, hedge fund, or sector‑specific shop.
David is an Investment Partner at Fusion Fund, a venture capital firm that writes $500K‑$10M checks.
He focuses on enterprise AI, machine learning, data infrastructure and has built a portfolio of AI‑focused companies.
David is Fusion’s “resident data nerd,” sits on the AI investment committee, and has a portfolio that includes Vectara, Otter.ai, You.com, and Huma.ai.
Fusion Fund typically writes $1‑4M seed checks and often leads; the description doesn’t explicitly say they lead Series A with $5‑7M checks, so it’s uncertain.","Zamir Shukho via LinkedIn"
"Sergey","Gribov","Flint Capital","General Partner","https://happenstance.ai/u/9ca81df7-586c-4667-ade6-e093e2369962","https://www.linkedin.com/in/sgribov","https://twitter.com/gsv239","Yes","Yes","Yes","Sort of","Yes","He focuses on AI, enterprise SaaS, fintech and data infrastructure investments.
His roles are all at venture capital and portfolio companies, not at excluded organizations.
Flint Capital regularly leads Series‑A rounds with checks in the $500K‑$10M range. (2015 - Present)
He is based in Boston, United States, which satisfies the US location but not the West Coast preference.
Sergey is a General Partner at Flint Capital, a venture firm that makes Series‑A investments. (2015 - Present)
He authored a notable op‑ed on over‑funding and sits on multiple AI‑focused boards, showing deep sector insight.","Zamir Shukho via Google Contacts"
"Ullas","Naik","Streamlined Ventures","Founder and General Partner","https://happenstance.ai/u/20104825-231c-49fc-b354-8333f0c88c92","https://www.linkedin.com/in/ullasnaik","https://twitter.com/ullastweets","Yes","Sort of","Yes","Yes","Yes","He is based in Palo Alto, California, on the West Coast of the United States.
Ullas is Founder and General Partner at Streamlined Ventures, a seed‑stage VC firm.
His role is at a venture capital fund, not at an accelerator, PE, hedge fund, or sector‑specific firm.
Ullas has backed dozens of AI, data‑science and enterprise SaaS companies such as Applovin, DoorDash, Rigetti, and FLYR.
Ullas brings ~30 years of experience, 600+ company exposures, and multiple $1 Bn+ exits, making him a highly seasoned LP‑ready investor.
Streamlined Ventures focuses on seed rounds with checks up to $2.5 M; the description does not state that it regularly leads Series A rounds of $500 K‑$10 M. (2013 - Present)","Harry Wetherall via LinkedIn"
"Andrew","Gershfeld","Flint Capital","Partner","https://happenstance.ai/u/fcafea5e-b5e4-499d-aa12-79d10d2ca805","https://www.linkedin.com/in/andrewger","","Yes","Yes","Yes","Sort of","Yes","Flint Capital leads Series A rounds with checks from $500 K to $10 M. (2020 - Present)
Andrew is a Partner at Flint Capital, which is a venture capital fund. (2020 - Present)
He is based in the United States, but the resume doesn’t specify a West Coast or Bay Area location.
He invests in AI, machine learning, enterprise SaaS, and related B2B software areas. (2020 - Present)
His roles are with a VC firm and board positions, not with accelerators, PE, or other excluded entities. (2020 - Present)
He authored the 2018 State of AI report and sits on the board of Intento, an AI translation company, highlighting deep AI expertise.","Zamir Shukho via Google Contacts"
"Kanwal","Rekhi","Inventus Capital Partners","Managing Director","https://happenstance.ai/u/a645ddef-8745-4ea6-b902-0fd375c21a66","https://www.linkedin.com/in/kanwal-rekhi-34a3389","","Yes","Yes","Sort of","Yes","Yes","Kanwal is based in Los Gatos, California, which is on the West Coast of the United States.
His VC roles suggest exposure to AI/ML and enterprise SaaS deals, but the resume does not list specific sector investments. (2021 - Present)
Inventus Capital Partners invests early and can lead Series A rounds with checks up to $3 million, matching the required range. (2021 - Present)
His current positions are with a VC fund, a syndicate, and advisory boards—not with accelerators, PE, or other excluded entities. (2021 - Present)
He was the first Indian founder to list a company on a US stock exchange and has a deep network of Global 5000 CXOs, valuable for corporate‑focused AI tooling.
Kanwal is a Managing Director at Inventus Capital Partners, a venture capital firm, and also a Principal at SVQ, indicating he is a senior VC investor. (2021 - Present)","Harry Wetherall via LinkedIn"
"Asher","Siddiqui","Sukna Ventures","Partner","https://happenstance.ai/u/eaabaa17-8ae8-4982-9162-c9422df506b4","https://www.linkedin.com/in/ashersiddiqui","","Yes","Sort of","Sort of","Yes","Yes","His location is the San Francisco Bay Area.
He describes himself as a tech investor with broad experience, but the resume doesn’t list explicit AI/ML or SaaS investments.
Sukna Ventures is a VC, but the resume doesn’t specify its typical check size or that it leads Series A rounds, so it’s uncertain.
All current roles are with venture funds, advisory boards, or research; none are with accelerators, PE, hedge funds, or sector‑only funds.
Asher is a Partner at Sukna Ventures, a venture capital fund, and also holds multiple LP and advisory roles, fitting the partner/angel profile.
He also serves as Founder & CIO of Asilica, researches emerging VC trends at a top business school, and sits on several supervisory and board committees, giving him a deep network and strategic insight.","Zamir Shukho via Google Contacts (Medium connection), Daniel Kozlov via LinkedIn, Harry Wetherall via LinkedIn"
"Konstantin","Vinogradov","Twenty","Investor","https://happenstance.ai/u/16aa1754-ac72-446e-bf37-577d622d3823","https://www.linkedin.com/in/konstantin-vinogradov-1418b623","https://twitter.com/vinogradovk","Sort of","Yes","Yes","Sort of","Yes","His location is listed as United States, though no specific West Coast city is given.
He is currently at a VC fund and an open‑source endowment, not at any excluded accelerator, PE, or niche‑only firm.
He works at Twenty, which invests in open‑source SaaS and typically leads Series A rounds with multi‑million‑dollar checks.
He focuses on AI, open source, infrastructure and enterprise SaaS investments, as shown in his self‑description and writing.
He is a Kauffman Fellow, chairs an Open Source Endowment, and has a strong track record writing about open‑source VC theses.
Konstantin is an Investor at Twenty, a VC fund, and describes himself as a VC investor, but his current title isn’t a partner or GP.","Zamir Shukho via Google Contacts (Medium connection), Daniel Kozlov via LinkedIn"
"Andrew","Romans","7BC Venture Capital","General Partner","https://happenstance.ai/u/6abc2720-2b05-4f14-b619-b58ce24ab3d5","https://www.linkedin.com/in/romans","https://twitter.com/romansventures","Yes","Yes","Sort of","Sort of","Yes","Andrew is based in Austin, Texas, so he is US‑based but not on the West Coast/Bay Area.
His funds invest from seed through Series A/B and often lead rounds with checks in the $500K‑$10M range. (2011 - Present)
He is a prolific author of multiple VC books and hosts a popular VC podcast, giving him deep industry visibility and networks.
Andrew is a General Partner at both Rubicon Venture Capital and 7BC Venture Capital, fulfilling the partner role at VC funds. (2011 - Present)
He focuses on startups that automate workflows and use data‑driven decisions, indicating experience in AI/ML and enterprise SaaS sectors. (2019 - Present)
He works at VC funds and as an author/podcast host, with no ties to accelerators, PE, hedge funds, or crypto‑only firms, so he does not work at excluded organizations. (2011 - Present)","Zamir Shukho via Google Contacts (Medium connection), Daniel Kozlov via LinkedIn"
"Susan","Akbarpour","Candou Ventures","Managing Partner","https://happenstance.ai/u/f2446551-5ef7-45c5-89f8-69fa6ee7bec2","https://www.linkedin.com/in/susan-akbarpour-2351101","","Yes","Yes","Yes","Yes","Yes","Susan lives in Atherton, California, placing her on the US West Coast/Bay Area.
Candou Ventures invests in early‑stage AI and SaaS companies and routinely leads Series A rounds with multi‑million‑dollar checks.
She has deep AI and enterprise SaaS investment experience, serving on boards of AI firms and building CIMA, an AI tooling platform for VCs.
All her current roles are with venture funds, boards, or non‑profit advisory bodies—not accelerators, PE, hedge funds, or crypto‑only firms.
Susan is Managing Partner at Candou Ventures, a VC fund, and also holds multiple limited partner roles, fitting the partner/GP/family‑office investor profile.
She also founded CIMA, an AI‑tooling platform for fund management, and holds numerous board and advisory positions across AI, media, and diversity initiatives, highlighting a broad network and sector expertise.","Daniel Kozlov via LinkedIn (Medium connection), Harry Wetherall via LinkedIn, Zamir Shukho via Google Contacts"
"Leigh","Marie Braswell","Kleiner Perkins","Partner","https://happenstance.ai/u/3164e1b0-cd86-40e0-b902-51555a73b3f2","https://www.linkedin.com/in/leigh-marie-braswell","https://twitter.com/LM_Braswell","Yes","Yes","Yes","Yes","Yes","She is located in the San Francisco Bay Area.
Kleiner Perkins regularly leads Series A rounds with checks in the $500K‑$10M range.
Leigh is a Partner at Kleiner Perkins, a venture capital fund that writes large Series A checks.
Her role is at a pure‑play VC firm, not at an accelerator, PE, hedge fund, or sector‑specific fund.
Leigh has written extensively on LLMs and AI tooling and invests in AI/ML, enterprise SaaS, and data infrastructure.
Leigh is a frequent writer on AI investment trends and sits on multiple AI‑focused boards, giving her deep domain insight.","Zamir Shukho via LinkedIn"
"Daniel","Hoffer","Deep Venture Partners","Managing Partner","https://happenstance.ai/u/1b9dfb87-6c62-4d36-b062-d4d2711def12","https://www.linkedin.com/in/hoffer","https://twitter.com/dmhoffer","Yes","Yes","Yes","Yes","Yes","He’s based in Menlo Park, California, which is on the West Coast/Bay Area.
His current roles are at a VC fund and board positions, not at any excluded accelerator, PE, hedge, or sector‑only firms.
He’s a prolific deal‑maker with multiple 10x‑30x exits, board experience at AI‑focused companies, and a high‑profile media presence.
Deep Venture Partners focuses on early‑stage deals and writes $5‑7M checks, so it leads Series A rounds in the target range. (2025 - Present)
Daniel is Managing Partner at Deep Venture Partners, a venture capital fund, which matches the partner/MD role the user needs. (2025 - Present)
He has a long track record investing in AI, enterprise SaaS, B2B, fintech and data infrastructure through his VC and corporate‑development roles.","Daniel Kozlov via LinkedIn"
